stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,6.4701172999921255,7.03844730000128,7.03844730000128,7.053049199981615,7.353011999977753,right,10.0,1,1,2.220140999997966,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
1,2,8.0,9.286335499986308,9.787156599981245,9.787156599981245,9.787156599981245,10.085950199980289,right,8.0,1,1,0.49916579999262467,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
2,2,6.0,10.319968999974662,10.802982599998359,10.802982599998359,10.820142599986866,11.103159499994945,left,-6.0,1,1,0.4996769999852404,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
3,2,4.0,11.320365399995353,11.819907600001898,11.819907600001898,11.837297499994747,12.119299199985107,left,-4.0,1,1,0.4535314999811817,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
4,2,2.0,12.303309899987653,12.802576099988073,12.802576099988073,12.820027799985837,13.102467499993509,right,2.0,1,1,0.40761389999534003,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
5,1,0.0,13.235829999990528,13.735772199986968,13.735772199986968,13.735772199986968,14.03551739998511,left,-0.0,0,0,0.6997928000055254,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
6,1,1.0,14.45239659998333,14.953080199979013,14.953080199979013,14.953080199979013,15.269038899976294,left,-1.0,0,0,0.5705439999874216,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
7,1,2.0,15.551627999986522,16.035602799995104,16.035602799995104,16.052449999988312,16.335371099994518,left,-2.0,1,1,0.40193900000303984,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
8,1,2.0,16.468358199985232,16.968306499999017,16.968306499999017,16.968306499999017,17.268960899993544,left,-2.0,1,1,0.47145730000920594,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
9,1,2.0,17.468984199978877,17.968698099983158,17.968698099983158,17.98581079998985,18.268036599998595,left,-2.0,1,1,0.36431350000202656,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
10,1,1.0,18.35113949998049,18.85222599998815,18.85222599998815,18.85222599998815,19.15117719999398,left,-1.0,1,1,0.40247359999921173,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
11,0.5,1.0,19.285080499976175,19.768163100001402,19.768163100001402,19.785071999998763,20.068260200001532,right,1.0,0,0,0.3862197999842465,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
12,0.5,1.5,20.184417899989057,20.668736299994634,20.668736299994634,20.684495399997104,20.985286599985557,right,1.5,0,0,0.3325553000031505,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
13,0.5,2.0,21.01811340000131,21.517926999978954,21.517926999978954,21.517926999978954,21.81803019999643,left,-2.0,1,1,0.40511659998446703,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
14,0.5,2.0,21.95115939999232,22.45126089997939,22.45126089997939,22.45126089997939,22.751101000001654,right,2.0,1,1,0.4983631999930367,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
15,0.5,2.0,22.96764659998007,23.451300099986838,23.451300099986838,23.468256699998165,23.752145699982066,left,-2.0,1,1,0.34669509998639114,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
16,0.5,1.5,23.817809100000886,24.3172602999839,24.3172602999839,24.3172602999839,24.61733749997802,right,1.5,1,1,0.5665974000003189,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
17,0.5,1.5,24.90096659999108,25.40183839999372,25.40183839999372,25.40183839999372,25.7013195999898,left,-1.5,1,1,0.3259719000197947,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
18,0.5,1.5,25.750395599985495,26.251395200000843,26.251395200000843,26.251395200000843,26.550431399984518,left,-1.5,0,0,0.3893814000184648,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
19,0.5,2.0,26.66744170000311,27.15114669999457,27.15114669999457,27.168286599975545,27.451152099994943,right,2.0,1,1,0.46830279999994673,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
20,0.5,2.0,27.651201399974525,28.150442499987548,28.150442499987548,28.150442499987548,28.450534499977948,left,-2.0,1,1,1.1001034999790136,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
21,0.5,2.0,29.266483999992488,29.766743899992434,29.766743899992434,29.766743899992434,30.06658729998162,right,2.0,1,1,0.44998939998913556,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
22,0.5,1.5,30.233128599997144,30.73294529999839,30.73294529999839,30.73294529999839,31.03364369997871,right,1.5,1,1,0.6227974999928847,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
23,0.5,1.5,31.38242499998887,31.866689999995288,31.866689999995288,31.883080400002655,32.16642279998632,left,-1.5,1,1,0.5421169999754056,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
24,0.5,1.5,32.43263199998182,32.91633649999858,32.91633649999858,32.933245099993655,33.2178058999998,left,-1.5,0,0,0.31328010000288486,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
25,0.5,2.0,33.24991630000295,33.749575699999696,33.749575699999696,33.749575699999696,34.050402900000336,right,2.0,1,1,0.6354238000058103,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
26,0.5,2.0,34.41660409999895,34.89989319999586,34.89989319999586,34.91619209997589,35.19925609999336,right,2.0,1,1,0.42320180000388063,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
27,0.5,2.0,35.349356999999145,35.84975319998921,35.84975319998921,35.84975319998921,36.149446600000374,right,2.0,1,1,0.3889152999909129,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
28,0.5,1.5,36.26545219999389,36.76670809998177,36.76670809998177,36.76670809998177,37.06580609999946,right,1.5,1,1,0.45301940001081675,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
29,0.5,1.5,37.24963179999031,37.732537999982014,37.732537999982014,37.74913630000083,38.03270959999645,left,-1.5,0,0,0.3548505999788176,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
30,0.5,2.0,38.11541519997991,38.61541689999285,38.61541689999285,38.61541689999285,38.9160608999955,right,2.0,1,1,0.6452810000046156,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
31,0.5,2.0,39.28181279997807,39.765735199995106,39.765735199995106,39.782451299979584,40.06584070000099,left,-2.0,1,1,0.5243414000142366,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
32,0.5,2.0,40.31526719999965,40.815396299993154,40.815396299993154,40.815396299993154,41.115608299995074,left,-2.0,1,1,0.6586483999853954,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
33,0.5,1.5,41.498122899996815,41.981949599983636,41.981949599983636,41.99855709998519,42.282085799990455,left,-1.5,1,1,0.5756641000043601,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
34,0.5,1.5,42.58112789998995,43.065331899997545,43.065331899997545,43.08167049998883,43.3652071999968,right,1.5,0,0,0.391777800017735,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
35,0.5,2.0,43.481472799991025,43.96518479997758,43.96518479997758,43.98141459998442,44.26470839997637,left,-2.0,1,1,0.9615981999959331,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
36,0.5,2.0,44.94762900000205,45.431630799983395,45.431630799983395,45.448655099986354,45.73092370000086,right,2.0,1,1,0.44440810001106,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
37,0.5,2.0,45.897982099995716,46.38115649999236,46.38115649999236,46.398141599987866,46.68132209999021,left,-2.0,1,1,0.559370199975092,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
38,0.5,1.5,46.96464120000019,47.448124499991536,47.448124499991536,47.464498099987395,47.748048899986316,left,-1.5,0,0,0.31348139999317937,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
39,0.5,2.0,47.781092599994736,48.26462729999912,48.26462729999912,48.281430099974386,48.56489919999149,right,2.0,1,1,0.5059674000076484,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
40,0.5,2.0,48.79824059997918,49.281000599992694,49.281000599992694,49.297544999979436,49.58068230000208,left,-2.0,1,1,0.4316574000113178,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
41,0.5,2.0,49.730813199974364,50.21438479999779,50.21438479999779,50.23092169998563,50.51383289997466,right,2.0,1,1,0.5709178999823052,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
42,0.5,1.5,50.81385439998121,51.314462599984836,51.314462599984836,51.314462599984836,51.61398909997661,right,1.5,1,1,0.5268031999876257,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
43,0.5,1.5,51.863902199984295,52.36389449998387,52.36389449998387,52.36389449998387,52.663812499988126,left,-1.5,1,1,0.5044022999936715,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
44,0.5,1.5,52.89706190000288,53.38043259998085,53.38043259998085,53.39723089998006,53.68096109997714,right,1.5,1,1,0.670676400011871,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
45,0.5,1.0,54.080079399980605,54.580611499986844,54.580611499986844,54.580611499986844,54.89669369999319,right,1.0,1,1,0.5695887999900151,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
46,0.5,1.0,55.18083199998364,55.66477129998384,55.66477129998384,55.679731099982746,55.98016589999315,right,1.0,1,1,14.730168000009144,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
47,0.5,1.0,70.41134299998521,70.91126039999654,70.91126039999654,70.91126039999654,71.21188930000062,left,-1.0,1,1,0.9569025000091642,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
48,0.5,0.5,71.89415769997868,72.39481159998104,72.39481159998104,72.39481159998104,72.69475609998335,right,0.5,0,0,0.728036799991969,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
49,0.5,1.0,73.14392099998076,73.64508859999478,73.64508859999478,73.64508859999478,73.96157889999449,right,1.0,0,0,0.6416294999944512,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
